,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
79,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,60,0.00055991,"Handset object with 7 distinct hands, and 60 hand combinations."
78,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,105,0.00055991,"Handset object with 7 distinct hands, and 105 hand combinations."
77,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,144,0.00055991,"Handset object with 7 distinct hands, and 144 hand combinations."
76,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,55,0.00055991,"Handset object with 7 distinct hands, and 55 hand combinations."
91,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,30,0.000479923,"Handset object with 6 distinct hands, and 30 hand combinations."
90,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,30,0.000479923,"Handset object with 6 distinct hands, and 30 hand combinations."
92,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,180,0.000319949,"Handset object with 4 distinct hands, and 180 hand combinations."
93,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,120,0.000319949,"Handset object with 4 distinct hands, and 120 hand combinations."
94,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,180,0.000319949,"Handset object with 4 distinct hands, and 180 hand combinations."
95,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,270,0.000319949,"Handset object with 4 distinct hands, and 270 hand combinations."
96,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,180,0.000319949,"Handset object with 4 distinct hands, and 180 hand combinations."
97,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,180,0.000319949,"Handset object with 4 distinct hands, and 180 hand combinations."
103,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,45,0.000239962,"Handset object with 3 distinct hands, and 45 hand combinations."
102,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,24,0.000239962,"Handset object with 3 distinct hands, and 24 hand combinations."
